帝王家深宫怨似水流年,1,帝王家深宫怨似水流年。
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,9562636.2588426489,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,9564590.3609706555,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,9600620.9885623287,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,9672782.6056068148,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,9715246.9096912071,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,9716832.239883123,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,9717126.2071000561,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,9738366.6820602883,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,9762617.5458919015,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,9764926.7612650786,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,9764969.8086006306,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,9770512.4025764186,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,9772628.2694725711,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,9794395.5542909205,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,9803909.8798166048,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,9827699.8512348626,0.0
