隐情不敢实告妻,0,隐情不敢实告妻。
daeh-ZiNaRi-ErJinGong.xml_3,太师爷一心心想篡龙楼。,7645668.2191936001,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,7648383.1412729472,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,7672366.5954035707,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,7700722.3714040471,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,7730985.5394985955,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,7734310.861599071,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,7737370.8654778022,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,7739072.391506305,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,7752741.5240784967,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,7762807.8415379236,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,7764973.0890101306,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,7771397.1966746366,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7780594.3527008006,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,7784492.3474686919,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7790893.3199501187,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,7798274.2307372773,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,7845201.1095916545,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,7851146.6376548912,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,7864726.8456127485,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,7890432.0746195149,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_3,等候了爹爹回细问根由。,7902545.3285949323,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,7912452.9995874399,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,7949080.713542507,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,7957323.3608216438,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,8013895.8267507069,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,8027973.0014645094,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_10,轿内的人儿弹别调，,8028599.0239890656,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,8070238.6792724207,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,8079199.3195919441,0.0
